data-lat,data-lng,country,country_code,city
40.7396039,-74.0088855,United States,US,Gramercy Park
41.7200352,-87.7243805,United States,US,Hometown
40.5831343,-74.6149222,United States,US,Bridgewater
26.15479,-80.3218353,United States,US,Pine Island Ridge
40.744143,-73.606883,United States,US,Briarwood
39.9501041,-75.160056,United States,US,Center City
29.739212,-95.4635009,United States,US,Bellaire
37.538057,-122.301778,United States,US,Belmont
39.895457,-74.930148,United States,US,Marlton
34.1587921,-118.8199086,United States,US,Westlake Village
28.486741,-81.4285959,United States,US,Oak Ridge
44.8832196,-93.3284255,United States,US,Elko New Market
36.8430348,-76.1306889,United States,US,Moyock
40.289677,-74.052178,United States,US,Dover Beaches North
39.6724418,-75.6504291,United States,US,Bear
25.6440034,-80.335541,United States,US,Palmetto Bay
32.7934366,-96.8031548,United States,US,Dallas
27.3855325,-82.4554441,United States,US,The Meadows
33.50327,-111.927221,United States,US,Scottsdale
42.5630174,-83.185384,United States,US,West Bloomfield Township
42.2313202,-71.1765604,United States,US,Dedham
33.9854311,-118.3933176,United States,US,Ladera Heights
47.677633,-122.2003,United States,US,Kirkland
42.3619352,-71.1574236,United States,US,Belmont
25.6902251,-80.3135991,United States,US,Kendall
40.7152344,-74.0149039,United States,US,Financial District
42.051193,-88.0384605,United States,US,Rolling Meadows
30.1645185,-95.4538295,United States,US,Conroe
33.8467259,-84.3624199,United States,US,Brookhaven
26.365754,-80.1148542,United States,US,Boca Raton
40.7408761,-73.9879814,United States,US,Gramercy Park
36.1023786,-115.1745465,United States,US,Paradise
32.7256672,-117.1694249,United States,US,San Diego
47.6169866,-122.3384,United States,US,Seattle
40.581671,-74.167754,United States,US,Sunset Park
41.8782379,-87.635791,United States,US,Chicago Loop
33.8373665,-84.3802425,United States,US,Brookhaven
40.550462,-111.89177,United States,US,White City
40.730311,-73.989496,United States,US,Gramercy Park
33.977949,-118.438098,United States,US,Marina del Rey
34.1428234,-118.254569,United States,US,Glendale
39.9774834,-83.0032475,United States,US,Columbus
41.3803181,-73.4809567,United States,US,Bethel
40.8673389,-73.8306815,United States,US,East Harlem
39.9146201,-86.11124,United States,US,Meridian Hills
39.5955771,-104.8962267,United States,US,Castlewood
40.7196823,-73.8438591,United States,US,Kew Gardens Hills
32.9518361,-117.2358071,United States,US,Del Mar
40.643715,-74.075979,United States,US,Sunset Park
36.1619472,-115.1581889,United States,US,Las Vegas
39.7712478,-86.1548176,United States,US,Indianapolis
42.2410693,-87.9417137,United States,US,Libertyville
27.9533147,-82.5023048,United States,US,Tampa
32.8687357,-96.7718582,United States,US,Highland Park
41.098253,-74.01604,United States,US,Wyckoff
41.9462157,-87.6555041,United States,US,Uptown
33.623938,-111.928536,United States,US,Paradise Valley
40.114362,-75.284796,United States,US,Plymouth Meeting
39.7623533,-104.9809164,United States,US,Denver
42.3722402,-71.1209764,United States,US,Cambridge
37.9481371,-122.5094055,United States,US,Corte Madera
28.450158,-81.400764,United States,US,Sky Lake
29.7591983,-95.3633981,United States,US,Houston
38.8639404,-77.0601179,United States,US,"Washington, D.C."
29.7449774,-95.3920533,United States,US,Houston
29.9512926,-90.065744,United States,US,New Orleans
40.6921225,-73.9886067,United States,US,Financial District
25.7907428,-80.1406777,United States,US,Miami Beach
32.9026999,-96.9589124,United States,US,Farmers Branch
42.5623699,-83.164607,United States,US,West Bloomfield Township
40.7584956,-73.989167,United States,US,Gramercy Park
42.3226262,-71.1696836,United States,US,Newton
39.9511265,-75.1738353,United States,US,Philadelphia
35.7386641,-78.7776837,United States,US,Cary
41.453493,-81.486092,United States,US,Clark-Fulton
33.7535491,-84.3655673,United States,US,Atlanta
37.7839767,-122.4054904,United States,US,Chinatown
39.0241983,-77.1451289,United States,US,North Bethesda
40.7548641,-73.9854363,United States,US,Gramercy Park
28.5978865,-81.3661609,United States,US,Eatonville
35.4431193,-80.8828748,United States,US,Cornelius
40.0519075,-82.915731,United States,US,Bexley
40.7789041,-73.9549827,United States,US,East Harlem
34.1877649,-118.6060928,United States,US,Canoga Park
42.5042626,-71.1321979,United States,US,Stoneham
40.2932861,-74.6848621,United States,US,Mercerville-Hamilton Square
33.7561215,-118.1093702,United States,US,Seal Beach
41.500334,-81.689174,United States,US,Clark-Fulton
37.4442875,-122.1710802,United States,US,Menlo Park
35.172716,-80.848515,United States,US,Charlotte
41.030232,-73.789425,United States,US,Byram
38.8973122,-77.0239875,United States,US,"Washington, D.C."
41.1386776,-73.299248,United States,US,Westport
36.0209574,-115.087652,United States,US,Whitney
40.7527262,-73.9772294,United States,US,Gramercy Park
40.6827552,-73.9765082,United States,US,Financial District
40.088775,-75.392069,United States,US,West Norriton
32.852135,-96.7685081,United States,US,Highland Park
42.4822898,-71.2135439,United States,US,Burlington
40.8700624,-73.128329,United States,US,Setauket-East Setauket
45.5014112,-122.8058431,United States,US,Cedar Hills
40.7031062,-73.9940252,United States,US,Financial District
28.3879501,-81.4904099,United States,US,Williamsburg
40.7291643,-74.0055851,United States,US,Gramercy Park
42.3496398,-71.081556,United States,US,Boston
38.9135166,-94.6462054,United States,US,Leawood
28.3947462,-81.4847411,United States,US,Williamsburg
28.4440373,-81.4700012,United States,US,Doctor Phillips
36.1029949,-86.8169347,United States,US,Oak Hill
38.8766494,-77.0068096,United States,US,"Washington, D.C."
38.6416041,-90.2617923,United States,US,Hillsdale
41.0702217,-73.4766614,United States,US,Wilton
42.3566921,-71.0585433,United States,US,Boston
41.8854108,-87.6519791,United States,US,Chicago Loop
25.70916,-80.2823518,United States,US,South Miami
36.1515796,-115.3319668,United States,US,Summerlin South
39.9537815,-75.1885748,United States,US,Philadelphia
40.145624,-82.982057,United States,US,Upper Arlington
34.0447456,-118.2562332,United States,US,Los Angeles
40.0166748,-105.2558663,United States,US,Boulder
39.0407214,-77.1589931,United States,US,North Bethesda
34.1328418,-118.1470301,United States,US,Pasadena
29.5180415,-98.4994042,United States,US,Castle Hills
38.627091612689,-90.20285785,United States,US,St. Louis
34.0528683,-118.2524942,United States,US,Los Angeles
38.91088766459,-77.44325115,United States,US,Oak Hill
36.130534011593,-86.6691776,United States,US,Lakewood
38.5683756,-121.4871238,United States,US,Sacramento
38.9091097,-77.0321566,United States,US,"Washington, D.C."
